ID	Sex	Name	Father No.	Mother No.	id_from_page	name	father_id	mother_id	Different
1561	1	PLATON	792	737	15610	Platon II	7920	7370	TRUE
1564	2	POMILA	792	1206	15640	Pomiła	7920	12060	TRUE
1571	2	POREKA	792	1143	15710	Poręka	7920	11430	TRUE
1572	2	POŚWIETNA	738	740	15720	Poświętna	7380	7400	TRUE
1580	1	PLACUS	789	1131	15800	Placuś	7890	11310	TRUE
1599	1	BYEZECK	860	914	15990	Byeżeck	8600	9140	TRUE
1601	2	BYERIOZOWKA	698	834	16010	Byedriozowka	6980	8340	TRUE
1614	2	METEL	1241	1236	16140	Metel'	NA	NA	TRUE
1621	2	MECZTA	1241	1316	16210	Mečta	12410	13160	TRUE
1632	2	MOZARA	1092	715	16320	Możara	10920	7150	TRUE
1634	2	MOZZEWIOŁOWKA	1092	1094	16340	Możżewiołowska	10920	10940	TRUE
1653	2	FRÄULEIN	1216	1138	16530	Fraulein	12160	11380	TRUE
1671	2	BREEZO	1010	1119	16710	Breeze	10100	11190	TRUE
1676	1	BAGER	1129	1079	16760	Voden	11290	10790	TRUE
1678	2	BYEGA	0	875	16780	???	NA	8750	TRUE
1679	2	ROMANTA	897	823	16790	Romanța	8970	8230	TRUE
1687	1	POTEZNY	792	1206	16870	Potężny	11500	7600	TRUE
1696	1	POŁOW	762	1143	16960	Połów	7620	11430	TRUE
1701	1	PUCUL II	946	1030	17010	Pucuł II	9460	10300	TRUE
1703	1	PUTRORIUS	1209	1021	17030	Putorius	12090	10210	TRUE
1721	1	NA	0	1141	17210	???	NA	11410	TRUE
1728	2	BYERŁOZKA	860	874	17280	Byerłożka	8600	8740	TRUE
1733	1	MUSZKATEL	872	952	17330	Muškatel	8720	9520	TRUE
1740	1	BARCHATISTYJ	0	948	17400	Berchatistyj	NA	9480	TRUE
1741	2	MURAWA	872	801	17410	Murava	8720	8010	TRUE
1744	1	MOSUL	1092	1046	17440	Mosuł	10920	10460	TRUE
1753	1	BYEZBREZNYJ	0	1324	17530	Byezbreżnyj	NA	13240	TRUE
1754	1	BYEZIK	0	1100	17540	Byeżik	NA	11000	TRUE
1755	2	MOZGA	1092	715	17550	Możga	10920	7150	TRUE
1781	1	FRÄDRICH	1216	1138	17810	Fradrich	12160	11380	TRUE
1807	1	BORIL	1129	1083	18070	???	11290	10830	TRUE
1808	1	VOLODIN	1129	1079	18080	???	11290	10790	TRUE
1825	1	BOJAN	1129	1079	18250	???	11290	10790	TRUE
1826	2	BONKA	1218	1083	18260	Volona	12180	NA	TRUE
